C,101,0,0,4,2
C,102,9,0,1,3
C,103,9,9,3,1
C,104,1,2,2,1
C,105,4,5,1,2
C,106,7,3,4,2
C,107,2,8,1,3
C,108,0,6,3,2
C,109,3,1,2,1
C,110,5,5,1,2
C,111,6,2,4,3
C,112,9,4,2,2
C,113,2,3,3,3
C,114,3,7,1,1
C,115,1,9,2,2
C,116,4,0,3,1
C,117,0,2,2,3
C,118,8,3,1,2
C,119,2,6,4,3
C,120,3,4,3,2
C,121,6,8,1,2
C,122,5,0,2,3
C,123,0,8,3,2
C,124,7,6,4,3
C,125,8,1,2,2
C,126,2,0,1,1
C,127,9,5,4,2
C,128,4,9,2,1
C,129,6,1,3,3
C,130,1,5,2,2
C,131,0,4,3,1
C,132,8,7,4,3
C,133,7,0,1,2
C,134,5,3,3,2
C,135,3,9,2,3
C,136,9,2,4,2
C,137,4,4,3,1
C,138,2,2,2,3
C,139,1,0,4,2
C,140,6,6,1,3
C,141,8,0,2,1
C,142,0,3,3,2
C,143,7,7,4,2
C,144,3,5,1,1
C,145,5,8,2,3
C,146,9,1,4,2
C,147,2,7,3,1
C,148,6,3,2,2
C,149,1,8,1,3
C,150,0,1,4,2
