C,101,0,0,1,2
C,102,1,0,2,3
C,103,2,0,3,4
C,104,3,0,4,5
C,105,4,0,1,3
C,106,5,0,2,4
C,107,6,0,3,2
C,108,7,0,4,3
C,109,8,0,1,5
C,110,9,0,2,2
C,111,0,1,3,3
C,112,1,1,4,2
C,113,2,1,1,4
C,114,3,1,2,3
C,115,4,1,3,5
C,116,5,1,4,4
C,117,6,1,1,3
C,118,7,1,2,2
C,119,8,1,3,4
C,120,9,1,4,5
C,121,0,2,1,3
C,122,1,2,2,4
C,123,2,2,3,2
C,124,3,2,4,5
C,125,4,2,1,2
C,126,5,2,2,4
C,127,6,2,3,3
C,128,7,2,4,5
C,129,8,2,1,3
C,130,9,2,2,4
C,131,0,3,3,3
C,132,1,3,4,5
C,133,2,3,1,4
C,134,3,3,2,2
C,135,4,3,3,5
C,136,5,3,4,3
C,137,6,3,1,2
C,138,7,3,2,5
C,139,8,3,3,4
C,140,9,3,4,5
C,141,0,4,1,3
C,142,1,4,2,2
C,143,2,4,3,4
C,144,3,4,4,3
C,145,4,4,1,5
C,146,5,4,2,4
C,147,6,4,3,3
C,148,7,4,4,5
C,149,8,4,1,4
C,150,9,4,2,3
